IEX5.L,iShares III Public Limited Company - iShares Euro Corporate Bond ex-Financials 1-5yr UCITS ETF,IE00B4L5ZY03,109.4,ETF,LSE
IEXF.L,iShares III Public Limited Company - iShares Euro Corporate Bond ex-Financials UCITS ETF,IE00B4L5ZG21,116.12,ETF,LSE
IFFF.L,iShares Public Limited Company - iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,2861,ETF,LSE
IFIN.L,iShares Finland Government Bond,IE00B5SH2232,140.46,ETF,LSE
IFRB.L,iShares France Government Bond,IE00B7LGZ558,148.56,ETF,LSE
IFRE.L,iShares MSCI France,IE00BP3QZJ36,25.45,ETF,LSE
IFSE.L,iShares FactorSelect MSCI Europe,IE00BZ0PKV06,4.81,ETF,LSE
IFSU.L,iShares FactorSelect MSCI USA,IE00BZ0PKS76,5.15,ETF,LSE
IFSW.L,iShares FactorSelect MSCI World,IE00BZ0PKT83,5.09,ETF,LSE
IGCC.L,iShares III Public Limited Company - iShares MSCI GCC ex-Saudi Arabia UCITS ETF,IE00B3F81623,34.41,ETF,LSE
IGEA.L,iShares Emerging Asia Local Govt Bd,IE00B6QGFW01,92.33,ETF,LSE
IGHY.L,ISHS GL CO BN USD,IE00B74DQ490,63.62,ETF,LSE
IGIL.L,iShares III Public Limited Company - iShares Global Inflation Linked Government Bond UCITS ETF,IE00B3B8PX14,146.3,ETF,LSE
IGLN.L,iShares Physical Gold ETC,IE00B4ND3602,24.12,ETF,LSE
IGLO.L,iShares III Public Limited Company - iShares Global Government Bond UCITS ETF,IE00B3F81K65,108.29,ETF,LSE
IGLS.L,iShares III Public Limited Company - iShares UK Gilts 0-5yr UCITS ETF,IE00B4WXJK79,133.2,ETF,LSE
IGLT.L,iShares II Public Limited Company - iShares Core UK Gilts UCITS ETF,IE00B1FZSB30,12.74,ETF,LSE
IGSD.L,ISHARES IV PLC ISHS $ SHORT DUR,IE00BCRY5Y77,71.07,ETF,LSE
IGSG.L,ISHARES II PLC ISHARES DJ GLOBA,IE00B57X3V84,2056.25,ETF,LSE
IGSU.L,iShares DJ Glbl Sustainability Screened,IE00B57X3V84,29.19,ETF,LSE
IGUS.L,iShares S&P 500 GBP Hedged,IE00B3Y8X563,4719,ETF,LSE
IGWD.L,iShares MSCI World GBP Hedged,IE00B42YS929,4008,ETF,LSE
IH2O.L,iShares II Public Limited Company - iShares Global Water UCITS ETF,IE00B1TXK627,2284.25,ETF,LSE
IHCU.L,ISHARES V PUBLIC LIMITED COMPAN,IE00B43HR379,330.65,ETF,LSE
IHYG.L,ISHS EU YE CO EUR,IE00B66F4759,102.3,ETF,LSE
IHYU.L,iShares $ High Yield Corporate Bond,IE00B4PY7Y77,98.05,ETF,LSE
IITB.L,iShares Italy Government Bond,IE00B7LW6Y90,162.53,ETF,LSE
IITU.L,ISHARES V PUBLIC LIMITED COMPAN,IE00B3WJKG14,347.95,ETF,LSE
IJPA.L,iShares III Public Limited Company - iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,31.31,ETF,LSE
IJPD.L,iShares MSCI Japan USD Hedged,IE00BCLWRG39,27.14,ETF,LSE
IJPE.L,iShares MSCI Japan EUR Hedged,IE00B42Z5J44,39.05,ETF,LSE
IJPH.L,iShares MSCI Japan GBP Hedged,IE00B7XYN974,45.51,ETF,LSE
IJPN.L,iShares Public Limited Company - iShares MSCI Japan UCITS ETF (Dist),IE00B02KXH56,801.13,ETF,LSE
IJPU.L,iShares MSCI Japan Dist,IE00B02KXH56,11.44,ETF,LSE
IKOR.L,iShares Public Limited Company - iShares MSCI Korea UCITS ETF (Dist),IE00B0M63391,2347.88,ETF,LSE
IMEA.L,iShares III Public Limited Company - iShares MSCI Europe UCITS ETF (Acc),IE00B4K48X80,40.55,ETF,LSE
IMEU.L,iShares II Public Limited Company - iShares MSCI Europe UCITS ETF (Dist),IE00B1YZSC51,1644,ETF,LSE
IMIB.L,iShares II Public Limited Company - iShares FTSE MIB UCITS ETF (Dist),IE00B1XNH568,859.15,ETF,LSE
IMV.L,iShares MSCI Europe Minimum Volatility,IE00B86MWN23,2902,ETF,LSE
INAA.L,iShares Public Limited Company - iShares MSCI North America UCITS ETF,IE00B14X4M10,2695.5,ETF,LSE
INFR.L,iShares II Public Limited Company - iShares Global Infrastructure UCITS ETF,IE00B1FZS467,1654.75,ETF,LSE
INLD.L,iShares Netherlands Government Bond,IE00B7L7Z140,142.99,ETF,LSE
INRG.L,iShares II Public Limited Company - iShares Global Clean Energy UCITS ETF,IE00B1XNHC34,366.25,ETF,LSE
INXG.L,iShares II Public Limited Company - iShares £ Index-Linked Gilts UCITS ETF,IE00B1FZSD53,15.2,ETF,LSE
IOGP.L,iShares Oil & Gas Explor & Production,IE00B6R51Z18,14.71,ETF,LSE
IPDM.L,iShares Physical Palladium ETC,IE00B4556L06,16.97,ETF,LSE
IPLT.L,iShares Physical Platinum ETC,IE00B4LHWP62,14.07,ETF,LSE
IPOL.L,iShares MSCI Poland,IE00B4M7GH52,16.73,ETF,LSE
IPRP.L,iShares Public Limited Company - iShares European Property Yield UCITS ETF,IE00B0M63284,2933.5,ETF,LSE
IPRV.L,iShares II Public Limited Company - iShares Listed Private Equity UCITS ETF,IE00B1TXHL60,1132.5,ETF,LSE
